"시군구별","구분별","항목","단위","2018. 01 월","2018. 02 월","2018. 03 월","2018. 04 월","2018. 05 월","2018. 06 월","2018. 07 월","2018. 08 월","2018. 09 월","2018. 10 월","2018. 11 월","2018. 12 월","2019. 01 월","2019. 02 월","2019. 03 월","2019. 04 월","2019. 05 월","2019. 06 월","2019. 07 월","2019. 08 월","2019. 09 월","2019. 10 월","2019. 11 월","2019. 12 월","2020. 01 월","2020. 02 월","2020. 03 월","2020. 04 월","2020. 05 월","2020. 06 월","2020. 07 월","2020. 08 월","2020. 09 월","2020. 10 월","2020. 11 월","2020. 12 월",
"시흥시","계","시군별 세대 및 인구","","32203","32330","32738","32947","32955","33178","33301","33495","33628","33913","34440","34640","34768","34920","34945","35217","35198","35242","35062","35023","35076","35205","35223","34697","34861","34922","34541","34395","34180","34019","33871","33721","33619","33343","32938","32410",
"시흥시","남","시군별 세대 및 인구","","","","19582","","","19802","","","20124","","","20768","","","20886","","","21158","","","21006","","","20784","","","20627","","","20333","","","20057","","","19236",
"시흥시","여","시군별 세대 및 인구","","","","13156","","","13376","","","13504","","","13872","","","14059","","","14084","","","14070","","","13913","","","13914","","","13686","","","13562","","","13174",
"김포시","합계","시군별 세대 및 인구","명","411903","413990","417356","419924","422731","425533","429195","432506","434442","437119","440119","443019","445531","447694","448516","449687","451050","452137","453112","453953","454494","455501","456258","457556","458320","460025","463347","465667","467115","468975","471590","478130","483237","486327","488373","492766",
"김포시","남","시군별 세대 및 인구","","","","214728","","","218916","","","223452","","","228031","","","230804","","","232694","","","233826","","","235442","","","238116","","","240593","","","247541","","","251886",
"김포시","여","시군별 세대 및 인구","","","","202628","","","206617","","","210990","","","214988","","","217712","","","219443","","","220668","","","222114","","","225231","","","228382","","","235696","","","240880",
"김포시","세대수","시군별 세대 및 인구","세대","152711","153608","155295","156622","157909","159040","160670","162149","163052","164245","165462","166635","167874","169015","169659","170318","170957","171553","172079","172079","173001","173501","173966","174613","175008","175827","177491","178668","179727","181013","182608","185741","188308","189990","","193234",
"김포시","계","시군별 세대 및 인구","","393466","395510","398838","401385","404115","406682","410333","413576","415330","417658","420365","423170","425563","427776","428754","429752","431096","432167","432964","433777","434344","435213","436006","437221","437789","439502","443071","445425","447038","449039","451842","458505","463735","467084","469340","473970",
"김포시","남","시군별 세대 및 인구","","197489","198533","200195","201468","202819","204119","205949","207570","208450","209612","211004","212410","213624","214769","215270","215786","216422","216996","217423","217759","218050","218504","218919","219552","219805","220617","222353","223443","224224","225141","226602","229922","232501","234117","235230","237507",
"김포시","여","시군별 세대 및 인구","","195977","196977","198643","199917","201296","202563","204384","206006","206880","208046","209361","210760","211939","213007","213484","213966","214674","215171","215541","216018","216294","216709","217087","217669","217984","218885","220718","221982","222814","223898","225240","228583","231234","232967","234110","236463",
"김포시","계","시군별 세대 및 인구","","18437","18480","18518","18539","18616","18851","18862","18930","19112","19461","19754","19849","19968","19918","19762","19935","19954","19970","20148","20176","20150","20288","20252","20335","20531","20523","20276","20242","20077","19936","19748","19625","19502","19243","19033","18796",
"김포시","남","시군별 세대 및 인구","","","","14533","","","14797","","","15002","","","15621","","","15534","","","15698","","","15776","","","15890","","","15763","","","15452","","","15040","","","14379",
"김포시","여","시군별 세대 및 인구","","","","3985","","","4054","","","4110","","","4228","","","4228","","","4272","","","4374","","","4445","","","4513","","","4484","","","4462","","","4417",
"광주시","합계","시군별 세대 및 인구","명","359991","361154","362289","363892","365907","367872","370053","372080","373228","374709","375994","376819","377250","377494","377933","378923","379933","380443","381283","381959","383373","384377","385021","385640","386462","387073","387941","388490","389605","390327","391456","392097","392750","393116","393425","393954",
"광주시","남","시군별 세대 및 인구","","","","188035","","","190699","","","193592","","","195375","","","195928","","","197306","","","198784","","","199766","","","200950","","","202021","","","203032","","","203377",
"광주시","여","시군별 세대 및 인구","","","","174254","","","177173","","","179636","","","181444","","","182005","","","183137","","","184589","","","185874","","","186991","","","188306","","","189718","","","190577",
"광주시","세대수","시군별 세대 및 인구","세대","140902","141532","142265","143127","144169","145115","146014","146995","147697","148745","149519","150055","150524","150992","151480","152203","152824","153251","153889","126957","155164","155863","156379","156884","157357","157865","158469","158741","159719","160437","161473","162235","162979","163408","","164320",
"광주시","계","시군별 세대 및 인구","","347498","348587","349850","351494","353550","355403","357563","359430","360533","361930","363056","363782","364179","364472","365139","366092","367096","367655","368391","368999","370411","371285","371903","372654","373274","373867","374913","375561","376753","377525","378723","379480","380291","380821","381324","382054",
"광주시","남","시군별 세대 및 인구","","178304","178812","179431","180189","181188","182115","183345","184291","184808","185477","186001","186309","186502","186676","187027","187532","188109","188450","188843","189083","189808","190190","190449","190774","191127","191421","191945","192208","192894","193232","193796","194146","194524","194783","194991","195298",
"광주시","여","시군별 세대 및 인구","","169194","169775","170419","171305","172362","173288","174218","175139","175725","176453","177055","177473","177677","177796","178112","178560","178987","179205","179548","179916","180603","181095","181454","181880","182147","182446","182968","183353","183859","184293","184927","185334","185767","186038","186333","186756",
"광주시","계","시군별 세대 및 인구","","12493","12567","12439","12398","12357","12469","12490","12650","12695","12779","12938","13037","13071","13022","12794","12831","12837","12788","12892","12960","12962","13092","13118","12986","13188","13206","13028","12929","12852","12802","12733","12617","12459","12295","12101","11900",
"광주시","남","시군별 세대 및 인구","","","","8604","","","8584","","","8784","","","9066","","","8901","","","8856","","","8976","","","8992","","","9005","","","8789","","","8508","","","8079",
"광주시","여","시군별 세대 및 인구","","","","3835","","","3885","","","3911","","","3971","","","3893","","","3932","","","3986","","","3994","","","4023","","","4013","","","3951","","","3821",
"광명시","합계","시군별 세대 및 인구","명","337649","336587","336720","336901","336835","336751","336466","335653","335328","334502","333781","333114","332701","332051","330946","329727","328624","327629","326832","326028","325289","324094","323217","322494","321845","322041","322026","321449","319979","318275","316504","313893","310878","307579","304697","303068",
"광명시","남","시군별 세대 및 인구","","","","166801","","","166764","","","165969","","","164889","","","163788","","","162078","","","160825","","","159400","","","159038","","","157179","","","153523","","","149511",
"광명시","여","시군별 세대 및 인구","","","","169919","","","169987","","","169359","","","168225","","","167158","","","165551","","","164464","","","163094","","","162988","","","161096","","","157355","","","153557",
"광명시","세대수","시군별 세대 및 인구","세대","127055","126997","127256","127533","127739","127755","127911","127898","128065","128052","128051","128126","128308","128355","128081","127646","127395","127091","126957","153889","126652","126368","126096","126001","125911","126237","126334","126216","125901","125528","125021","124242","123278","122067","","120560",
