배출연도,배출월,광역시도,기초지자체,배출량(톤)
2017,12,경기도,오산시,756464
2017,12,경기도,군포시,173076
2017,12,경기도,의왕시,647056
2017,12,경기도,용인시,3206608
2017,12,경기도,파주시,803544
2017,12,경기도,이천시,447986
2017,12,경기도,화성시,2409770
2017,12,경기도,광주시,545133
2017,12,경기도,양주시,445398
2017,12,경기도,포천시,201422
2017,12,경기도,여주시,132369
2017,12,강원도,춘천시,165277
2017,12,강원도,원주시,826790
2017,12,강원도,강릉시,170577
2017,12,강원도,동해시,726002
2017,12,강원도,삼척시,68988
2017,12,강원도,홍천군,74646
2017,12,강원도,횡성군,65426
2017,12,강원도,고성군,6570
2017,12,충청북도,청주시,1171638
2017,12,충청남도,서산시,574
2017,12,전라북도,군산시,682606
2017,12,전라북도,익산시,3405597
2017,12,전라북도,정읍시,637300
2017,12,전라북도,진안군,22406
2017,12,전라북도,임실군,18142
2017,12,전라북도,순창군,7550
2017,12,전라북도,고창군,69524
2017,12,전라북도,부안군,59294
2017,12,전라남도,순천시,325564
2017,12,전라남도,광양시,592712
2017,12,전라남도,해남군,2799
2017,12,전라남도,무안군,6356
2017,12,경상북도,포항시,873017
2017,12,경상북도,김천시,298870
2017,12,경상북도,안동시,345495
2017,12,경상북도,구미시,1253902
2017,12,경상북도,영주시,68511
2017,12,경상북도,상주시,97525
2017,12,경상북도,경산시,455511
2017,12,경상북도,예천군,32385
2017,12,경상북도,울진군,135356
2017,12,경상북도,울릉군,15674
2017,12,경상남도,진주시,718658
